Condition,CP1,CP2,CP3,CP4,CP5,Action,P1,P2,P3,P4,P5,NlsDesc,Comments
structure_convert,Type=3012,Lvl=11,,,,property_create,name=Crop,RandomINT,304,456,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=12,,,,property_create,name=Crop,RandomINT,320,480,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=13,,,,property_create,name=Crop,RandomINT,328,492,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=14,,,,property_create,name=Crop,RandomINT,336,504,,,//set crop property to how much player will get
structure_convert,Type=3012,Lvl=15,,,,property_create,name=Crop,RandomINT,344,516,,,//set crop property to how much player will get
structure_downgrade,Type=3012,Lvl=1,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=2,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=3,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=4,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=5,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=6,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=7,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=8,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=9,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=10,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=11,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=12,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=13,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=14,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
structure_downgrade,Type=3012,Lvl=15,,,,structure_change,time=0,3008,1,,,,//when enemy knocks it down
,,,,,,,,,,,,,
//weapon export,,,,,,,,,,,,,
technology_change,Type=22031,,,,,resource_rate_update,,,,,,,
,,,,,,,,,,,,,
// attic storage,,,,,,,,,,,,,
technology_change,Type=21071,,,,,city_resource_cap_update,,,,,,,
,,,,,,,,,,,,,
//armory,,,,,,,,,,,,,
structure_upgrade,Type=2302,Lvl=0,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2302,Lvl=1,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2302,Lvl=2,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2302,Lvl=3,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2302,Lvl=4,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2302,Lvl=5,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2302,Lvl=6,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2302,Lvl=7,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2302,Lvl=8,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2302,Lvl=9,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2302,Lvl=10,,,,distributed_points_update,,,,,,,
structure_downgrade_or_remove,Type=2302,,,,,distributed_points_update,,,,,,,
technology_change,Type=23021,,,,,distributed_points_update,,,,,,,
technology_change,Type=23022,,,,,distributed_points_update,,,,,,,
technology_change,Type=23023,,,,,distributed_points_update,,,,,,,
technology_change,Type=23024,,,,,distributed_points_update,,,,,,,
technology_change,Type=23025,,,,,distributed_points_update,,,,,,,
technology_change,Type=23026,,,,,distributed_points_update,,,,,,,
technology_change,Type=23027,,,,,distributed_points_update,,,,,,,
technology_change,Type=23028,,,,,distributed_points_update,,,,,,,
,,,,,,,,,,,,,
// blacksmith,,,,,,,,,,,,,
structure_upgrade,Type=2303,Lvl=0,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2303,Lvl=1,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2303,Lvl=2,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2303,Lvl=3,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2303,Lvl=4,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2303,Lvl=5,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2303,Lvl=6,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2303,Lvl=7,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2303,Lvl=8,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2303,Lvl=9,,,,distributed_points_update,,,,,,,
structure_upgrade,Type=2303,Lvl=10,,,,distributed_points_update,,,,,,,
structure_downgrade_or_remove,Type=2303,,,,,distributed_points_update,,,,,,,
technology_change,Type=23031,,,,,distributed_points_update,,,,,,,
technology_change,Type=23032,,,,,distributed_points_update,,,,,,,
technology_change,Type=23033,,,,,distributed_points_update,,,,,,,
technology_change,Type=23034,,,,,distributed_points_update,,,,,,,
technology_change,Type=23035,,,,,distributed_points_update,,,,,,,
technology_change,Type=23036,,,,,distributed_points_update,,,,,,,
technology_change,Type=23037,,,,,distributed_points_update,,,,,,,
technology_change,Type=23038,,,,,distributed_points_update,,,,,,,
,,,,,,,,,,,,,
//training ground,,,,,,,,,,,,,
structure_upgrade,Type=2201,Lvl=1,,,,technology_create,techid=22018,techlvl=1,time=0,,,,
structure_upgrade,Type=2201,Lvl=2,,,,technology_create,techid=22018,techlvl=2,time=0,,,,
structure_upgrade,Type=2201,Lvl=3,,,,technology_create,techid=22018,techlvl=3,time=0,,,,
structure_upgrade,Type=2201,Lvl=4,,,,technology_create,techid=22018,techlvl=4,time=0,,,,
structure_upgrade,Type=2201,Lvl=5,,,,technology_create,techid=22018,techlvl=5,time=0,,,,
structure_upgrade,Type=2201,Lvl=6,,,,technology_create,techid=22018,techlvl=6,time=0,,,,
structure_upgrade,Type=2201,Lvl=7,,,,technology_create,techid=22018,techlvl=7,time=0,,,,
structure_upgrade,Type=2201,Lvl=8,,,,technology_create,techid=22018,techlvl=8,time=0,,,,
structure_upgrade,Type=2201,Lvl=9,,,,technology_create,techid=22018,techlvl=9,time=0,,,,
structure_upgrade,Type=2201,Lvl=10,,,,technology_create,techid=22018,techlvl=10,time=0,,,,
structure_downgrade,Type=2201,Lvl=1,,,,technology_create,techid=22018,techlvl=1,time=0,,,,
structure_downgrade,Type=2201,Lvl=2,,,,technology_create,techid=22018,techlvl=2,time=0,,,,
structure_downgrade,Type=2201,Lvl=3,,,,technology_create,techid=22018,techlvl=3,time=0,,,,
structure_downgrade,Type=2201,Lvl=4,,,,technology_create,techid=22018,techlvl=4,time=0,,,,
structure_downgrade,Type=2201,Lvl=5,,,,technology_create,techid=22018,techlvl=5,time=0,,,,
structure_downgrade,Type=2201,Lvl=6,,,,technology_create,techid=22018,techlvl=6,time=0,,,,
structure_downgrade,Type=2201,Lvl=7,,,,technology_create,techid=22018,techlvl=7,time=0,,,,
structure_downgrade,Type=2201,Lvl=8,,,,technology_create,techid=22018,techlvl=8,time=0,,,,
structure_downgrade,Type=2201,Lvl=9,,,,technology_create,techid=22018,techlvl=9,time=0,,,,
structure_downgrade,Type=2201,Lvl=10,,,,technology_create,techid=22018,techlvl=10,time=0,,,,
,,,,,,,,,,,,,
//barracks,,,,,,,,,,,,,
structure_convert,Type=2204,Lvl=1,,,,technology_create,techid=22048,techlvl=1,time=0,,,,
structure_upgrade,Type=2204,Lvl=2,,,,technology_create,techid=22048,techlvl=2,time=0,,,,
structure_upgrade,Type=2204,Lvl=3,,,,technology_create,techid=22048,techlvl=3,time=0,,,,
structure_upgrade,Type=2204,Lvl=4,,,,technology_create,techid=22048,techlvl=4,time=0,,,,
structure_upgrade,Type=2204,Lvl=5,,,,technology_create,techid=22048,techlvl=5,time=0,,,,
structure_upgrade,Type=2204,Lvl=6,,,,technology_create,techid=22048,techlvl=6,time=0,,,,
structure_upgrade,Type=2204,Lvl=7,,,,technology_create,techid=22048,techlvl=7,time=0,,,,
structure_upgrade,Type=2204,Lvl=8,,,,technology_create,techid=22048,techlvl=8,time=0,,,,
structure_upgrade,Type=2204,Lvl=9,,,,technology_create,techid=22048,techlvl=9,time=0,,,,
structure_upgrade,Type=2204,Lvl=10,,,,technology_create,techid=22048,techlvl=10,time=0,,,,
structure_downgrade,Type=2204,Lvl=1,,,,technology_create,techid=22048,techlvl=1,time=0,,,,
structure_downgrade,Type=2204,Lvl=2,,,,technology_create,techid=22048,techlvl=2,time=0,,,,
structure_downgrade,Type=2204,Lvl=3,,,,technology_create,techid=22048,techlvl=3,time=0,,,,
structure_downgrade,Type=2204,Lvl=4,,,,technology_create,techid=22048,techlvl=4,time=0,,,,
structure_downgrade,Type=2204,Lvl=5,,,,technology_create,techid=22048,techlvl=5,time=0,,,,
structure_downgrade,Type=2204,Lvl=6,,,,technology_create,techid=22048,techlvl=6,time=0,,,,
structure_downgrade,Type=2204,Lvl=7,,,,technology_create,techid=22048,techlvl=7,time=0,,,,
structure_downgrade,Type=2204,Lvl=8,,,,technology_create,techid=22048,techlvl=8,time=0,,,,
structure_downgrade,Type=2204,Lvl=9,,,,technology_create,techid=22048,techlvl=9,time=0,,,,
structure_downgrade,Type=2204,Lvl=10,,,,technology_create,techid=22048,techlvl=10,time=0,,,,
structure_convert,Type=2204,Lvl=5,,,,technology_create,techid=22048,techlvl=5,time=0,,,TIME_LEFT_LABEL,//kill field
,,,,,,,,,,,,,
//Stable,,,,,,,,,,,,,
structure_upgrade,Type=2202,Lvl=1,,,,technology_create,techid=22026,techlvl=1,time=0,,,,
structure_upgrade,Type=2202,Lvl=2,,,,technology_create,techid=22026,techlvl=2,time=0,,,,
structure_upgrade,Type=2202,Lvl=3,,,,technology_create,techid=22026,techlvl=3,time=0,,,,
structure_upgrade,Type=2202,Lvl=4,,,,technology_create,techid=22026,techlvl=4,time=0,,,,
structure_upgrade,Type=2202,Lvl=5,,,,technology_create,techid=22026,techlvl=5,time=0,,,,
structure_upgrade,Type=2202,Lvl=6,,,,technology_create,techid=22026,techlvl=6,time=0,,,,
structure_upgrade,Type=2202,Lvl=7,,,,technology_create,techid=22026,techlvl=7,time=0,,,,
structure_upgrade,Type=2202,Lvl=8,,,,technology_create,techid=22026,techlvl=8,time=0,,,,
structure_upgrade,Type=2202,Lvl=9,,,,technology_create,techid=22026,techlvl=9,time=0,,,,
structure_upgrade,Type=2202,Lvl=10,,,,technology_create,techid=22026,techlvl=10,time=0,,,,
structure_downgrade,Type=2202,Lvl=1,,,,technology_create,techid=22026,techlvl=1,time=0,,,,
structure_downgrade,Type=2202,Lvl=2,,,,technology_create,techid=22026,techlvl=2,time=0,,,,
structure_downgrade,Type=2202,Lvl=3,,,,technology_create,techid=22026,techlvl=3,time=0,,,,
structure_downgrade,Type=2202,Lvl=4,,,,technology_create,techid=22026,techlvl=4,time=0,,,,
structure_downgrade,Type=2202,Lvl=5,,,,technology_create,techid=22026,techlvl=5,time=0,,,,
structure_downgrade,Type=2202,Lvl=6,,,,technology_create,techid=22026,techlvl=6,time=0,,,,
structure_downgrade,Type=2202,Lvl=7,,,,technology_create,techid=22026,techlvl=7,time=0,,,,
structure_downgrade,Type=2202,Lvl=8,,,,technology_create,techid=22026,techlvl=8,time=0,,,,
structure_downgrade,Type=2202,Lvl=9,,,,technology_create,techid=22026,techlvl=9,time=0,,,,
structure_downgrade,Type=2202,Lvl=10,,,,technology_create,techid=22026,techlvl=10,time=0,,,,
,,,,,,,,,,,,,
//Workshop,,,,,,,,,,,,,
structure_upgrade,Type=2203,Lvl=1,,,,technology_create,techid=22034,techlvl=1,time=0,,,,
structure_upgrade,Type=2203,Lvl=2,,,,technology_create,techid=22034,techlvl=2,time=0,,,,
structure_upgrade,Type=2203,Lvl=3,,,,technology_create,techid=22034,techlvl=3,time=0,,,,
structure_upgrade,Type=2203,Lvl=4,,,,technology_create,techid=22034,techlvl=4,time=0,,,,
structure_upgrade,Type=2203,Lvl=5,,,,technology_create,techid=22034,techlvl=5,time=0,,,,
structure_upgrade,Type=2203,Lvl=6,,,,technology_create,techid=22034,techlvl=6,time=0,,,,
structure_upgrade,Type=2203,Lvl=7,,,,technology_create,techid=22034,techlvl=7,time=0,,,,
structure_upgrade,Type=2203,Lvl=8,,,,technology_create,techid=22034,techlvl=8,time=0,,,,
structure_upgrade,Type=2203,Lvl=9,,,,technology_create,techid=22034,techlvl=9,time=0,,,,
structure_upgrade,Type=2203,Lvl=10,,,,technology_create,techid=22034,techlvl=10,time=0,,,,
structure_downgrade,Type=2203,Lvl=1,,,,technology_create,techid=22034,techlvl=1,time=0,,,,
structure_downgrade,Type=2203,Lvl=2,,,,technology_create,techid=22034,techlvl=2,time=0,,,,
structure_downgrade,Type=2203,Lvl=3,,,,technology_create,techid=22034,techlvl=3,time=0,,,,
structure_downgrade,Type=2203,Lvl=4,,,,technology_create,techid=22034,techlvl=4,time=0,,,,
structure_downgrade,Type=2203,Lvl=5,,,,technology_create,techid=22034,techlvl=5,time=0,,,,
structure_downgrade,Type=2203,Lvl=6,,,,technology_create,techid=22034,techlvl=6,time=0,,,,
structure_downgrade,Type=2203,Lvl=7,,,,technology_create,techid=22034,techlvl=7,time=0,,,,
structure_downgrade,Type=2203,Lvl=8,,,,technology_create,techid=22034,techlvl=8,time=0,,,,
structure_downgrade,Type=2203,Lvl=9,,,,technology_create,techid=22034,techlvl=9,time=0,,,,
structure_downgrade,Type=2203,Lvl=10,,,,technology_create,techid=22034,techlvl=10,time=0,,,,
,,,,,,,,,,,,,
// temporary basement,,,,,,,,,,,,,
structure_upgrade,Type=2112,Lvl=1,,,,structure_self_destroy,time=21600,,,,,,
structure_upgrade,Type=2112,Lvl=2,,,,structure_self_destroy,time=21600,,,,,,
structure_upgrade,Type=2112,Lvl=3,,,,structure_self_destroy,time=21600,,,,,,
structure_upgrade,Type=2112,Lvl=4,,,,structure_self_destroy,time=21600,,,,,,
structure_upgrade,Type=2112,Lvl=5,,,,structure_self_destroy,time=21600,,,,,,
structure_upgrade,Type=2112,Lvl=6,,,,structure_self_destroy,time=21600,,,,,,
structure_upgrade,Type=2112,Lvl=7,,,,structure_self_destroy,time=21600,,,,,,
structure_upgrade,Type=2112,Lvl=8,,,,structure_self_destroy,time=21600,,,,,,
structure_upgrade,Type=2112,Lvl=9,,,,structure_self_destroy,time=21600,,,,,,
structure_upgrade,Type=2112,Lvl=10,,,,structure_self_destroy,time=21600,,,,,,
structure_upgrade,Type=2113,Lvl=1,,,,structure_self_destroy,time=43200,,,,,,
structure_upgrade,Type=2113,Lvl=2,,,,structure_self_destroy,time=43200,,,,,,
structure_upgrade,Type=2113,Lvl=3,,,,structure_self_destroy,time=43200,,,,,,
structure_upgrade,Type=2113,Lvl=4,,,,structure_self_destroy,time=43200,,,,,,
structure_upgrade,Type=2113,Lvl=5,,,,structure_self_destroy,time=43200,,,,,,
structure_upgrade,Type=2113,Lvl=6,,,,structure_self_destroy,time=43200,,,,,,
structure_upgrade,Type=2113,Lvl=7,,,,structure_self_destroy,time=43200,,,,,,
structure_upgrade,Type=2113,Lvl=8,,,,structure_self_destroy,time=43200,,,,,,
structure_upgrade,Type=2113,Lvl=9,,,,structure_self_destroy,time=43200,,,,,,
structure_upgrade,Type=2113,Lvl=10,,,,structure_self_destroy,time=43200,,,,,,
