TRAINING_GROUND_STRUCTURE_DESCRIPTION,Trains laborers into military units and provides defensive structures.,
TRAINING_GROUND_STRUCTURE_LVL_1,Allows training Fighters.,
TRAINING_GROUND_STRUCTURE_LVL_2,Allows building defensive Towers.,
TRAINING_GROUND_STRUCTURE_LVL_3,Allows training Bowmen.,
TRAINING_GROUND_STRUCTURE_LVL_4,Allows upgrading units to level 3.,
TRAINING_GROUND_STRUCTURE_LVL_5,Allows converting the structure to a Barrack.,
TRAINING_GROUND_STRUCTURE_LVL_6,Ability to research 5 for the price of 4,
TRAINING_GROUND_STRUCTURE_LVL_7,Improves training ground strength.,
TRAINING_GROUND_STRUCTURE_LVL_8,Allows upgrading units to level 6,
TRAINING_GROUND_STRUCTURE_LVL_9,Decreases training time by 5%.,
TRAINING_GROUND_STRUCTURE_LVL_10,Decreases training time by 10%.,
TRAINING_GROUND_STRUCTURE_LVL_11,Decreases training time by 15%. Ability to research Four for Three Technology.,
TRAINING_GROUND_STRUCTURE_LVL_12,Allows upgrading units to level 10,
TRAINING_GROUND_STRUCTURE_LVL_13,Decreases training time by 20%.,
TRAINING_GROUND_STRUCTURE_LVL_14,Decreases training time by 30%.,
TRAINING_GROUND_STRUCTURE_LVL_15,Decreases training time by 40%. Ability to research Three for Two Technology.,
,,
FARM_STRUCTURE_NAME,Farm,
FARM_STRUCTURE_DESCRIPTION,Uses the city's laborers to grow and produce crops. Ability to build Stables at higher level.,
FARM_STRUCTURE_LABOR_MOVE,Assign your city's laborers to grow and produce crops.,
FARM_STRUCTURE_LVL_1,Allows a maximum of 20 laborers to work in the Farm.,
FARM_STRUCTURE_LVL_2,Increases the farm to support a maximum of 34 laborers.,
FARM_STRUCTURE_LVL_3,Increases the farm to support a maximum of 48 laborers.,
FARM_STRUCTURE_LVL_4,Increases the farm to support a maximum of 62 laborers.,
FARM_STRUCTURE_LVL_5,Allows building Stables. Increases the farm to support a maximum of 77 laborers.,
FARM_STRUCTURE_LVL_6,Increases the farm to support a maximum of 92 laborers.,
FARM_STRUCTURE_LVL_7,Increase production rate by 10%.  Increases the farm to support a maximum of 108 laborers.,
FARM_STRUCTURE_LVL_8,Increase production rate by 10%.  Increases the farm to support a maximum of 124 laborers.,
FARM_STRUCTURE_LVL_9,Increase production rate by 20%.  Increases the farm to support a maximum of 140 laborers.,
FARM_STRUCTURE_LVL_10,Increase production rate by 20%.  Increases the farm to support a maximum of 157 laborers.,
FARM_STRUCTURE_LVL_11,Increase production rate by 30%.  Increases the farm to support a maximum of 174 laborers.,
FARM_STRUCTURE_LVL_12,Increase production rate by 30%.  Increases the farm to support a maximum of 192 laborers.,
FARM_STRUCTURE_LVL_13,Increase production rate by 40%.  Increases the farm to support a maximum of 210 laborers.,
FARM_STRUCTURE_LVL_14,Increase production rate by 40%.  Increases the farm to support a maximum of 228 laborers.,
FARM_STRUCTURE_LVL_15,Increase production rate by 50%.  Increases the farm to support a maximum of 247 laborers.,
,,
LUMBERMILL_STRUCTURE_NAME,Lumbermill,
LUMBERMILL_STRUCTURE_DESCRIPTION,Use the city's laborers to produce wood and develop underground storage to protect resources.,
LUMBERMILL_STRUCTURE_LVL_1,Allows gathering wood from level 1 forests.,
LUMBERMILL_STRUCTURE_LVL_2,Allows gathering wood from level 1 forests. Ability to build Basements to protect resources.,
LUMBERMILL_STRUCTURE_LVL_3,Allows gathering wood from level 2 forests.,
LUMBERMILL_STRUCTURE_LVL_4,Allows gathering wood from level 2 forests. Can gather from 2 forests simultaneously.,
LUMBERMILL_STRUCTURE_LVL_5,Allows gathering wood from level 2 forests. Can gather from 2 forests simultaneously. Enables researching Attic Storage to enhance Basements.,
LUMBERMILL_STRUCTURE_LVL_6,Allows gathering wood from level 2 forests. Can gather from 2 forests simultaneously.,
LUMBERMILL_STRUCTURE_LVL_7,Allows gathering wood from level 3 forests. Can gather from 2 forests simultaneously.,
LUMBERMILL_STRUCTURE_LVL_8,Allows gathering wood from level 3 forests. Can gather from 2 forests simultaneously.,
LUMBERMILL_STRUCTURE_LVL_9,Allows gathering wood from level 3 forests. Can gather from 3 forests simultaneously.,
LUMBERMILL_STRUCTURE_LVL_10,Allows gathering wood from level 3 forests. Can gather from 3 forests simultaneously.,
LUMBERMILL_STRUCTURE_LVL_11,Allows gathering wood from level 3 forests. Can gather from 3 forests simultaneously.,
LUMBERMILL_STRUCTURE_LVL_12,Allows gathering wood from level 3 forests. Can gather from 3 forests simultaneously.,
LUMBERMILL_STRUCTURE_LVL_13,Allows gathering wood from level 4 forests. Can gather from 3 forests simultaneously.,
LUMBERMILL_STRUCTURE_LVL_14,Allows gathering wood from level 4 forests. Can gather from 3 forests simultaneously.,
LUMBERMILL_STRUCTURE_LVL_15,Allows gathering wood from level 4 forests. Can gather from 4 forests simultaneously.,
,,
REFINERY_STRUCTURE_NAME,Refinery,
REFINERY_STRUCTURE_DESCRIPTION,Use the city's laborers to produce iron.,
REFINERY_STRUCTURE_LVL_1,Allows a maximum of 35 laborers to work in the refinery. Produce 1 iron per hour for every 7 laborers.,
REFINERY_STRUCTURE_LVL_2,Increases the farm to support a maximum of 45 laborers. Produce 1 iron per hour for every 7 laborers.,
REFINERY_STRUCTURE_LVL_3,Increases the farm to support a maximum of 55 laborers. Produce 1 iron per hour for every 7 laborers.,
REFINERY_STRUCTURE_LVL_4,Increases the farm to support a maximum of 66 laborers. Produce 1 iron per hour for every 7 laborers.,
REFINERY_STRUCTURE_LVL_5,Increases the farm to support a maximum of 77 laborers. Produce 1 iron per hour for every 7 laborers.,
REFINERY_STRUCTURE_LVL_6,Increases the farm to support a maximum of 89 laborers. Produce 1 iron per hour for every 6 laborers.,
REFINERY_STRUCTURE_LVL_7,Increases the farm to support a maximum of 102 laborers. Produce 1 iron per hour for every 6 laborers.,
REFINERY_STRUCTURE_LVL_8,Increases the farm to support a maximum of 115 laborers. Produce 1 iron per hour for every 6 laborers.,
REFINERY_STRUCTURE_LVL_9,Increases the farm to support a maximum of 129 laborers. Produce 1 iron per hour for every 6 laborers.,
REFINERY_STRUCTURE_LVL_10,Increases the farm to support a maximum of 144 laborers. Produce 1 iron per hour for every 6 laborers.,
REFINERY_STRUCTURE_LVL_11,Increases the farm to support a maximum of 159 laborers. Produce 1 iron per hour for every 5 laborers.,
REFINERY_STRUCTURE_LVL_12,Increases the farm to support a maximum of 175 laborers. Produce 1 iron per hour for every 5 laborers.,
REFINERY_STRUCTURE_LVL_13,Increases the farm to support a maximum of 192 laborers. Produce 1 iron per hour for every 5 laborers.,
REFINERY_STRUCTURE_LVL_14,Increases the farm to support a maximum of 219 laborers. Produce 1 iron per hour for every 5 laborers.,
REFINERY_STRUCTURE_LVL_15,Increases the farm to support a maximum of 229 laborers. Produce 1 iron per hour for every 4 laborers.,
,,
,,
,,
FOUNDRY_STRUCTURE_NAME,Foundry,
FOUNDRY_STRUCTURE_DESCRIPTION,Allow the city's laborer to use wood to repair buildings after they have been damaged in combat. Ability to remove structures and build Refinery at higher levels.,
FOUNDRY_STRUCTURE_LABOR_MOVE,Assign your city's laborers to repair damaged structures.,
FOUNDRY_STRUCTURE_LVL_1,Increases to a maximum of 10 laborers.  One labor can repair up to 1 HP every 30 minutes.,
FOUNDRY_STRUCTURE_LVL_2,Increases to a maximum of 17 laborers.  One labor can repair up to 1 HP every 30 minutes.  Enables researching A-Call-To-Arm Technology.,
FOUNDRY_STRUCTURE_LVL_3,Increases to a maximum of 24 laborers.  One labor can repair up to 2 HP every 30 minutes.  Upgrade Underground Architectural Research.,
FOUNDRY_STRUCTURE_LVL_4,Increases to a maximum of 33 laborers.  One labor can repair up to 2 HP every 30 minutes. ,
FOUNDRY_STRUCTURE_LVL_5,Increases to a maximum of 42 laborers.  One labor can repair up to 3 HP every 30 minutes.  Ability to remove structures.,
FOUNDRY_STRUCTURE_LVL_6,Increases to a maximum of 52 laborers.  One labor can repair up to 3 HP every 30 minutes.,
FOUNDRY_STRUCTURE_LVL_7,Increases to a maximum of 63 laborers.  One labor can repair up to 4 HP every 30 minutes.  Ability to build a Refinery.,
FOUNDRY_STRUCTURE_LVL_8,Increases to a maximum of 76 laborers.  One labor can repair up to 4 HP every 30 minutes. ,
FOUNDRY_STRUCTURE_LVL_9,Increases to a maximum of 90 laborers.  One labor can repair up to 5 HP every 30 minutes.  ,
FOUNDRY_STRUCTURE_LVL_10,Increases to a maximum of 105 laborers.  One labor can repair up to 5 HP every 30 minutes.,
,,
,,
BASEMENT_STRUCTURE_NAME,Basement,
BASEMENT_STRUCTURE_DESCRIPTION,Allow city to hide resources.,
BASEMENT_STRUCTURE_LVL_1,Increases storage space to hide 100 crop 100 wood.,
BASEMENT_STRUCTURE_LVL_2,Increases storage space to hide 150 crop 150 wood.,
BASEMENT_STRUCTURE_LVL_3,Increases storage space to hide 220 crop 220 wood.,
BASEMENT_STRUCTURE_LVL_4,Increases storage space to hide 330 crop 330 wood.,
BASEMENT_STRUCTURE_LVL_5,Increases storage space to hide 500 crop 500 wood 100 gold.,
BASEMENT_STRUCTURE_LVL_6,Increases storage space to hide 740 crop 740 wood 150 gold.,
BASEMENT_STRUCTURE_LVL_7,Increases storage space to hide 1100 crop 1100 wood 220 gold.,
BASEMENT_STRUCTURE_LVL_8,Increases storage space to hide 1100 crop 1100 wood 330 gold 200 iron.,
BASEMENT_STRUCTURE_LVL_9,Increases storage space to hide 1100 crop 1100 wood 500 gold 360 iron.,
BASEMENT_STRUCTURE_LVL_10,Increases storage space to hide 1100 crop 1100 wood 740 gold 660 iron.,
,,
STABLE_STRUCTURE_NAME,Stable,
STABLE_STRUCTURE_DESCRIPTION,Trains mounted units.,
STABLE_STRUCTURE_LVL_1,Allows training Calvary.,
STABLE_STRUCTURE_LVL_2,Improved Stable strength.,
STABLE_STRUCTURE_LVL_3,Allows upgrading units to level 3.,
STABLE_STRUCTURE_LVL_4,Ability to research Double Time.,
STABLE_STRUCTURE_LVL_5,Improved Stable strength.,
STABLE_STRUCTURE_LVL_6,Allows training Heavy Calvary.,
STABLE_STRUCTURE_LVL_7,Improved Stable strength.,
STABLE_STRUCTURE_LVL_8,Allows upgrading units to level 6,
STABLE_STRUCTURE_LVL_9,Decreases training time by 5%.,
STABLE_STRUCTURE_LVL_10,Decreases training time by 10%.,
STABLE_STRUCTURE_LVL_11,Decreases training time by 15%.,
STABLE_STRUCTURE_LVL_12,Allows upgrading units to level 10,
STABLE_STRUCTURE_LVL_13,Decreases training time by 20%.,
STABLE_STRUCTURE_LVL_14,Decreases training time by 30%.,
STABLE_STRUCTURE_LVL_15,Decreases training time by 40%.,
,,
WORKSHOP_STRUCTURE_NAME,Workshop,
WORKSHOP_STRUCTURE_DESCRIPTION,Ability to train siege engines such as Catapults and Helepolis.,
WORKSHOP_STRUCTURE_LVL_1,Enables training Helepolis.,
WORKSHOP_STRUCTURE_LVL_2,Improves Workshop strength.,
WORKSHOP_STRUCTURE_LVL_3,Allows upgrading units to level 3,
WORKSHOP_STRUCTURE_LVL_4,Improves workshop strength.,
WORKSHOP_STRUCTURE_LVL_5,Improves workshop strength.,
WORKSHOP_STRUCTURE_LVL_6,Allows training Catapults.,
WORKSHOP_STRUCTURE_LVL_7,Improves workshop strength.,
WORKSHOP_STRUCTURE_LVL_8,Allows upgrading units to level 6,
WORKSHOP_STRUCTURE_LVL_9,Decreases training time by 5%.,
WORKSHOP_STRUCTURE_LVL_10,Decreases training time by 10%.,
WORKSHOP_STRUCTURE_LVL_11,Decreases training time by 15%.,
WORKSHOP_STRUCTURE_LVL_12,Allows upgrading units to level 10,
WORKSHOP_STRUCTURE_LVL_13,Decreases training time by 20%.,
WORKSHOP_STRUCTURE_LVL_14,Decreases training time by 30%.,
WORKSHOP_STRUCTURE_LVL_15,Decreases training time by 40%.,
,,
UNIVERSITY_STRUCTURE_NAME,University,
UNIVERSITY_STRUCTURE_DESCRIPTION,Allows researching technologies that improve your city in various ways and decreases build/upgrade time.,
UNIVERSITY_STRUCTURE_LVL_1,Allows a maximum of 20 laborers to help construction to decrease build/upgrade time(0.25% per labor) and allows building Foundry. ,20
UNIVERSITY_STRUCTURE_LVL_2,Allows a maximum of 31 laborers to help construction to decrease build/upgrade time(0.25% per labor) and enables upgrading Hanzo Sword technology.,31
UNIVERSITY_STRUCTURE_LVL_3,Allows a maximum of 43 laborers to help construction to decrease build/upgrade time(0.25% per labor) and allows building Armory.,43
UNIVERSITY_STRUCTURE_LVL_4,Allows a maximum of 55 laborers to help construction to decrease build/upgrade time(0.25% per labor) and enables upgrading Archery Research to Lvl 1.,55
UNIVERSITY_STRUCTURE_LVL_5,Allows a maximum of 67 laborers to help construction to decrease build/upgrade time(0.25% per labor) and allows building Blacksmith and Workshop. Enables upgrading Archery Research to Lvl 2.,67
UNIVERSITY_STRUCTURE_LVL_6,Allows a maximum of 79 laborers to help construction to decrease build/upgrade time(0.25% per labor) and enables upgrading Archery Research to Lvl 4.,79
UNIVERSITY_STRUCTURE_LVL_7,Allows a maximum of 91 laborers to help construction to decrease build/upgrade time(0.25% per labor),91
UNIVERSITY_STRUCTURE_LVL_8,Allows a maximum of 104 laborers to help construction to decrease build/upgrade time(0.25% per labor),104
UNIVERSITY_STRUCTURE_LVL_9,Allows a maximum of 117 laborers to help construction to decrease build/upgrade time(0.25% per labor),117
UNIVERSITY_STRUCTURE_LVL_10,Allows a maximum of 130 laborers to help construction to decrease build/upgrade time(0.25% per labor),130
UNIVERSITY_STRUCTURE_LVL_11,Allows a maximum of 144 laborers to help construction to decrease build/upgrade time(0.25% per labor),144
UNIVERSITY_STRUCTURE_LVL_12,Allows a maximum of 158 laborers to help construction to decrease build/upgrade time(0.25% per labor),158
UNIVERSITY_STRUCTURE_LVL_13,Allows a maximum of 172 laborers to help construction to decrease build/upgrade time(0.25% per labor),172
UNIVERSITY_STRUCTURE_LVL_14,Allows a maximum of 186 laborers to help construction to decrease build/upgrade time(0.25% per labor),186
UNIVERSITY_STRUCTURE_LVL_15,Allows a maximum of 200 laborers to help construction to decrease build/upgrade time(0.25% per labor),200
,,
ARMORY_STRUCTURE_NAME,Armory,
ARMORY_STRUCTURE_DESCRIPTION,Allows researching technologies that improve your city's military defense.,
ARMORY_STRUCTURE_LVL_1,Allows upgrading any technology one more level.  5 level max for each technology.,
ARMORY_STRUCTURE_LVL_2,Allows upgrading any technology one more level.  5 level max for each technology.,
ARMORY_STRUCTURE_LVL_3,Allows upgrading any technology one more level.  5 level max for each technology.,
ARMORY_STRUCTURE_LVL_4,Allows upgrading any technology one more level.  5 level max for each technology.,
ARMORY_STRUCTURE_LVL_5,Allows upgrading any technology one more level.  5 level max for each technology.,
ARMORY_STRUCTURE_LVL_6,Allows upgrading any technology one more level.  5 level max for each technology.,
ARMORY_STRUCTURE_LVL_7,Allows upgrading any technology one more level.  5 level max for each technology.,
ARMORY_STRUCTURE_LVL_8,Allows upgrading any technology one more level.  5 level max for each technology.,
ARMORY_STRUCTURE_LVL_9,Allows upgrading any technology one more level.  5 level max for each technology.,
ARMORY_STRUCTURE_LVL_10,Allows upgrading any technology one more level.  5 level max for each technology.,
,,
BLACKSMITH_STRUCTURE_NAME,Blacksmith,
BLACKSMITH_STRUCTURE_DESCRIPTION,Allows researching technologies that improve your city's military offense.,
BLACKSMITH_STRUCTURE_LVL_1,Allows upgrading any technology one more level.  5 level max for each technology.,
BLACKSMITH_STRUCTURE_LVL_2,Allows upgrading any technology one more level.  5 level max for each technology.,
BLACKSMITH_STRUCTURE_LVL_3,Allows upgrading any technology one more level.  5 level max for each technology.,
BLACKSMITH_STRUCTURE_LVL_4,Allows upgrading any technology one more level.  5 level max for each technology.,
BLACKSMITH_STRUCTURE_LVL_5,Allows upgrading any technology one more level.  5 level max for each technology.,
BLACKSMITH_STRUCTURE_LVL_6,Allows upgrading any technology one more level.  5 level max for each technology.,
BLACKSMITH_STRUCTURE_LVL_7,Allows upgrading any technology one more level.  5 level max for each technology.,
BLACKSMITH_STRUCTURE_LVL_8,Allows upgrading any technology one more level.  5 level max for each technology.,
BLACKSMITH_STRUCTURE_LVL_9,Allows upgrading any technology one more level.  5 level max for each technology.,
BLACKSMITH_STRUCTURE_LVL_10,Allows upgrading any technology one more level.  5 level max for each technology.,
,,
,,
,,
TOWER_STRUCTURE_NAME,Tower,
TOWER_STRUCTURE_DESCRIPTION,Provides defense to nearby buildings during an attack.,
TOWER_STRUCTURE_LVL_1,Protects buildings within a 2 tile radius.,
TOWER_STRUCTURE_LVL_2,Increases tower defenses.,
TOWER_STRUCTURE_LVL_3,Increases tower defenses.,
TOWER_STRUCTURE_LVL_4,Increases tower defenses.,
TOWER_STRUCTURE_LVL_5,Increases radius to cover 3 tiles. Allows converting the tower to a Cannon Tower that is stronger against units with metal armor.,
TOWER_STRUCTURE_LVL_6,Increases tower defenses.,
TOWER_STRUCTURE_LVL_7,Increases tower defenses.,
TOWER_STRUCTURE_LVL_8,Increases radius to cover 4 tiles.,
TOWER_STRUCTURE_LVL_9,Increases tower defenses.,
TOWER_STRUCTURE_LVL_10,Increases radius to cover 5 tiles.,
,,
,,
CANNON_TOWER_STRUCTURE_NAME,Cannon Tower,
CANNON_TOWER_STRUCTURE_DESCRIPTION,Provides defense to nearby buildings during an attack. Strong against enemies with metal armor.,
CANNON_TOWER_STRUCTURE_LVL_1,Protects buildings within a 2 tile radius.,
CANNON_TOWER_STRUCTURE_LVL_2,Increases tower defenses.,
CANNON_TOWER_STRUCTURE_LVL_3,Increases tower defenses.,
CANNON_TOWER_STRUCTURE_LVL_4,Increases tower defenses.,
CANNON_TOWER_STRUCTURE_LVL_5,Increases radius to cover 3 tiles.,
CANNON_TOWER_STRUCTURE_LVL_6,Increases tower defenses.,
CANNON_TOWER_STRUCTURE_LVL_7,Increases tower defenses.,
CANNON_TOWER_STRUCTURE_LVL_8,Increases radius to cover 4 tiles.,
CANNON_TOWER_STRUCTURE_LVL_9,Increases tower defenses.,
CANNON_TOWER_STRUCTURE_LVL_10,Increases radius to cover 5 tiles.,
,,
TRADING_POST_STRUCTURE_NAME,Trading Post,
TRADING_POST_STRUCTURE_DESCRIPTION,Allows sending caravans with resources to other players. Gives the ability to build Market and Tribal Festivals.,
TRADING_POST_STRUCTURE_LVL_1,Ability to send a maximum of 200 resources. ,
TRADING_POST_STRUCTURE_LVL_2,Ability to build a tribal gathering that increases laborers' prodction by 30% for 8 hours!,
TRADING_POST_STRUCTURE_LVL_3,Increase ability to send a maximum of 400 resources.,
TRADING_POST_STRUCTURE_LVL_4,Allows training Ox Wagon.,
TRADING_POST_STRUCTURE_LVL_5,Increase ability to send a maximum of 600 resources. ,
TRADING_POST_STRUCTURE_LVL_6,Ability to build a Tribal Fair that increases laborers production by 30% for 1 day!,
TRADING_POST_STRUCTURE_LVL_7,Increase ability to send a maximum of 800 resources.,
TRADING_POST_STRUCTURE_LVL_8,Increase ability to send a maximum of 1000 resources.,
TRADING_POST_STRUCTURE_LVL_9,Increase ability to send a maximum of 1200 resources.,
TRADING_POST_STRUCTURE_LVL_10, Ability to build a Tribal Carnival that increases laborers production by 30% for 3 days!,
TRADING_POST_STRUCTURE_LVL_11,Increase ability to send a maximum of 1400 resources.,
TRADING_POST_STRUCTURE_LVL_12,Increase ability to send a maximum of 1600 resources.,
TRADING_POST_STRUCTURE_LVL_13,Increase ability to send a maximum of 1800 resources.,
TRADING_POST_STRUCTURE_LVL_14,Ability to build a Tribal Festival that increases laborers production by 30% for 1 week!,
TRADING_POST_STRUCTURE_LVL_15,Increase ability to send a maximum of 2000 resources.,
,,
MARKET_STRUCTURE_NAME,Market,
MARKET_STRUCTURE_DESCRIPTION,Allows selling and buying resources from the world market.,
MARKET_STRUCTURE_LVL_1,Ability to sell and buy resources at a 15% tax rate.,
MARKET_STRUCTURE_LVL_2,Decreases the tax rate to 12%.,
MARKET_STRUCTURE_LVL_3,Decreases the tax rate to 9%.,
MARKET_STRUCTURE_LVL_4,Decreases the tax rate to 6%.,
MARKET_STRUCTURE_LVL_5,Decreases the tax rate to 3%.,
MARKET_STRUCTURE_LVL_6,Tax-Free!,
MARKET_STRUCTURE_LVL_7,Trading at 3% discount rate.,
MARKET_STRUCTURE_LVL_8,Trading at 6% discount rate.,
MARKET_STRUCTURE_LVL_9,Trading at 9% discount rate.,
MARKET_STRUCTURE_LVL_10,Trading at 12% discount rate.,
,,
,,
,,
FORESTCAMP_STRUCTURE_NAME,Lumbering Camp,
FORESTCAMP_STRUCTURE_DESCRIPTION,The camp is used by laborers to collect wood from Forests.,
FORESTCAMP_STRUCTURE_LVL_1,,
TRIBAL_GATHERING_STRUCTURE_NAME,Tribal Gathering,
TRIBAL_GATHERING_STRUCTURE_DESCRIPTION,"A temporary tent where tribesmen hang out, get drunk and have a great time!",
TRIBAL_GATHERING_STRUCTURE_LVL_1,Shorten time required to produce new labors by 30% for 8 hours. (Nonstackable),
TRIBAL_FAIR_STRUCTURE_NAME,Tribal Fair,
TRIBAL_FAIR_STRUCTURE_DESCRIPTION,"A temporary tent where tribesmen hang out, get drunk and have a great time!",
TRIBAL_FAIR_STRUCTURE_LVL_1,Shorten time required to produce new labors by 30% for 1 day. (Nonstackable),
TRIBAL_CARNIVAL_STRUCTURE_NAME,Tribal Carnival,
TRIBAL_CARNIVAL_STRUCTURE_DESCRIPTION,"A temporary tent where tribesmen hang out, get drunk and have a great time!",
TRIBAL_CARNIVAL_STRUCTURE_LVL_1,Shorten time required to produce new labors by 30% for 2 days. (Nonstackable),
TRIBAL_FESTIVAL_STRUCTURE_NAME,Tribal Festival,
TRIBAL_FESTIVAL_STRUCTURE_DESCRIPTION,"A temporary tent where tribesmen hang out, get drunk and have a great time!",
TRIBAL_FESTIVAL_STRUCTURE_LVL_1,Shorten time required to produce new labors by 30% for 1 week. (Nonstackable),
