Type,Level,Index,Max,Option,Action,P1,P2,P3,P4,P5,EffectReq,EffectReqInherit
2201,8,5,1,,unit_upgrade,11,6,,,,,
2201,8,6,1,,unit_upgrade,12,6,,,,,
2201,9,9,1,,technology_Upgrade,22012,1,,,,22011,INVISIBLE
,,,,,,,,,,,,
2201,12,5,1,,unit_upgrade,11,10,,,,,
2201,12,6,1,,unit_upgrade,12,10,,,,,
2201,12,10,1,,technology_Upgrade,22013,1,,,,22012,INVISIBLE
,,,,,,,,,,,,
2201,15,11,1,,technology_Upgrade,22014,1,,,,22013,INVISIBLE
,,,,,,,,,,,,
//Barrack,,,,,,,,,,,,
2204,1,0,1,,,,,,,,,
2204,1,1,1,,unit_train,101,,,,,,
2204,1,2,1,,structure_Build,2402,,,,,,
2204,1,3,1,,structure_Upgrade,15,,,,,,
2204,3,4,1,,unit_train,102,,,,,22014,UPWARD
2204,4,5,1,,unit_upgrade,101,3,,,,,
2204,4,6,1,,unit_upgrade,102,3,,,,,
2204,5,7,1,,unit_train,103,,,,,22014,UPWARD
2204,5,8,1,,unit_upgrade,103,3,,,,,
2204,5,11,1,,technology_Upgrade,22041,5,,,,,
2204,6,12,1,,technology_Upgrade,22042,5,,,,,
2204,7,9,1,,unit_train,104,,,,,,
2204,7,10,1,,unit_upgrade,104,3,,,,,
2204,7,13,1,,technology_Upgrade,22043,5,,,,,
2204,8,5,1,,unit_upgrade,101,6,,,,,
2204,8,6,1,,unit_upgrade,102,6,,,,,
2204,8,8,1,,unit_upgrade,103,6,,,,,
2204,8,10,1,,unit_upgrade,104,6,,,,,
2204,12,5,1,,unit_upgrade,101,10,,,,,
2204,12,6,1,,unit_upgrade,102,10,,,,,
2204,12,8,1,,unit_upgrade,103,10,,,,,
2204,12,10,1,,unit_upgrade,104,10,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
//Stable,,,,,,,,,,,,
2202,1,0,1,,,,,,,,,
2202,1,1,1,,structure_Upgrade,15,,,,,,
2202,1,2,1,,unit_train,105,,,,,,
2202,3,3,1,,unit_upgrade,105,3,,,,,
2202,4,4,1,,technology_Upgrade,22021,5,,,,22021,UPWARD
2202,5,5,1,,technology_Upgrade,22022,5,,,,22021,UPWARD
2202,6,6,1,,unit_train,106,,,,,,
2202,6,7,1,,unit_upgrade,106,3,,,,,
2202,7,8,1,,technology_Upgrade,22023,5,,,,22022,UPWARD
,,,,,,,,,,,,
2202,8,3,1,,unit_upgrade,105,6,,,,,
2202,8,7,1,,unit_upgrade,106,6,,,,,
,,,,,,,,,,,,
2202,12,3,1,,unit_upgrade,105,10,,,,,
2202,12,7,1,,unit_upgrade,106,10,,,,,
,,,,,,,,,,,,
//Workshop,,,,,,,,,,,,
2203,1,0,1,,,,,,,,,
2203,1,1,1,,structure_Upgrade,15,,,,,,
2203,1,2,1,,unit_train,107,,,,,,
2203,3,3,1,,unit_upgrade,107,3,,,,,
2203,5,6,1,,technology_Upgrade,22031,5,,,,,
,,,,,,,,,,,,
2203,6,4,1,,unit_train,108,,,,,,
2203,6,5,1,,unit_upgrade,108,3,,,,,
,,,,,,,,,,,,
2203,8,3,1,,unit_upgrade,107,6,,,,,
2203,8,5,1,,unit_upgrade,108,6,,,,,
,,,,,,,,,,,,
2203,12,3,1,,unit_upgrade,107,10,,,,,
2203,12,5,1,,unit_upgrade,108,10,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
//University,,,,,,,,,,,,
2301,1,0,1,,,,,,,,,
2301,1,1,1,,labor_move,,,,,,,
2301,1,2,1,,structure_Upgrade,15,,,,,,
2301,1,3,1,,structure_Build,2110,,,,,,
2301,2,4,1,,technology_Upgrade,Archery=23011,1,,,,,
2301,3,5,1,,structure_Build,2302,,,,,,
2301,4,6,1,,technology_Upgrade,Spike=23012,1,,,,,
2301,5,7,1,,structure_Build,2303,,,,,,
2301,5,8,1,,structure_Build,2203,,,,,230171,UPWARD
2301,5,9,1,,technology_Upgrade,Hanzo=23013,1,,,,,
2301,6,10,1,,technology_Upgrade,Bow=23014,1,,,,,
2301,7,11,1,,technology_Upgrade,Sandal=23015,3,,,,,
,,,,,,,,,,,,
2301,8,6,1,,technology_Upgrade,Spike=23012,3,,,,,
2301,9,9,1,,technology_Upgrade,Hanzo=23013,3,,,,,
2301,10,10,1,,technology_Upgrade,Bow=23014,3,,,,,
,,,,,,,,,,,,
//Armory,,,,,,,,,,,,
2302,1,0,1,,,,,,,,,
2302,1,1,1,,structure_Upgrade,10,,,,,,
2302,1,2,1,,technology_Upgrade,23021,5,,,,23021,INVISIBLE
2302,1,3,1,,technology_Upgrade,23022,5,,,,23021,INVISIBLE
2302,1,4,1,,technology_Upgrade,23023,5,,,,23021,INVISIBLE
2302,1,5,1,,technology_Upgrade,23024,5,,,,23021,INVISIBLE
,,,,,,,,,,,,
2302,2,2,1,,technology_Upgrade,23021,5,,,,23022,INVISIBLE
2302,2,3,1,,technology_Upgrade,23022,5,,,,23022,INVISIBLE
2302,2,4,1,,technology_Upgrade,23023,5,,,,23022,INVISIBLE
2302,2,5,1,,technology_Upgrade,23024,5,,,,23022,INVISIBLE
,,,,,,,,,,,,
2302,3,2,1,,technology_Upgrade,23021,5,,,,23023,INVISIBLE
2302,3,3,1,,technology_Upgrade,23022,5,,,,23023,INVISIBLE
2302,3,4,1,,technology_Upgrade,23023,5,,,,23023,INVISIBLE
2302,3,5,1,,technology_Upgrade,23024,5,,,,23023,INVISIBLE
,,,,,,,,,,,,
2302,4,2,1,,technology_Upgrade,23021,5,,,,23024,INVISIBLE
2302,4,3,1,,technology_Upgrade,23022,5,,,,23024,INVISIBLE
2302,4,4,1,,technology_Upgrade,23023,5,,,,23024,INVISIBLE
2302,4,5,1,,technology_Upgrade,23024,5,,,,23024,INVISIBLE
,,,,,,,,,,,,
2302,5,2,1,,technology_Upgrade,23021,5,,,,23025,INVISIBLE
2302,5,3,1,,technology_Upgrade,23022,5,,,,23025,INVISIBLE
2302,5,4,1,,technology_Upgrade,23023,5,,,,23025,INVISIBLE
2302,5,5,1,,technology_Upgrade,23024,5,,,,23025,INVISIBLE
,,,,,,,,,,,,
2302,6,2,1,,technology_Upgrade,23021,5,,,,23026,INVISIBLE
2302,6,3,1,,technology_Upgrade,23022,5,,,,23026,INVISIBLE
2302,6,4,1,,technology_Upgrade,23023,5,,,,23026,INVISIBLE
2302,6,5,1,,technology_Upgrade,23024,5,,,,23026,INVISIBLE
,,,,,,,,,,,,
2302,7,2,1,,technology_Upgrade,23021,5,,,,23027,INVISIBLE
2302,7,3,1,,technology_Upgrade,23022,5,,,,23027,INVISIBLE
2302,7,4,1,,technology_Upgrade,23023,5,,,,23027,INVISIBLE
2302,7,5,1,,technology_Upgrade,23024,5,,,,23027,INVISIBLE
,,,,,,,,,,,,
2302,8,2,1,,technology_Upgrade,23021,5,,,,23028,INVISIBLE
2302,8,3,1,,technology_Upgrade,23022,5,,,,23028,INVISIBLE
2302,8,4,1,,technology_Upgrade,23023,5,,,,23028,INVISIBLE
2302,8,5,1,,technology_Upgrade,23024,5,,,,23028,INVISIBLE
,,,,,,,,,,,,
2302,9,2,1,,technology_Upgrade,23021,5,,,,23029,INVISIBLE
2302,9,3,1,,technology_Upgrade,23022,5,,,,23029,INVISIBLE
2302,9,4,1,,technology_Upgrade,23023,5,,,,23029,INVISIBLE
2302,9,5,1,,technology_Upgrade,23024,5,,,,23029,INVISIBLE
,,,,,,,,,,,,
2302,10,2,1,,technology_Upgrade,23021,5,,,,23030,INVISIBLE
2302,10,3,1,,technology_Upgrade,23022,5,,,,23030,INVISIBLE
2302,10,4,1,,technology_Upgrade,23023,5,,,,23030,INVISIBLE
2302,10,5,1,,technology_Upgrade,23024,5,,,,23030,INVISIBLE
,,,,,,,,,,,,
//Blacksmith,,,,,,,,,,,,
2303,1,0,1,,,,,,,,,
2303,1,1,1,,technology_upgrade,23031,5,,,,23021,INVISIBLE
2303,1,2,1,,technology_upgrade,23032,5,,,,23021,INVISIBLE
2303,1,3,1,,technology_upgrade,23033,5,,,,23021,INVISIBLE
2303,1,4,1,,technology_upgrade,23034,5,,,,23021,INVISIBLE
2303,1,5,1,,structure_upgrade,10,,,,,,
,,,,,,,,,,,,
2303,2,1,1,,technology_upgrade,23031,5,,,,23022,INVISIBLE
2303,2,2,1,,technology_upgrade,23032,5,,,,23022,INVISIBLE
2303,2,3,1,,technology_upgrade,23033,5,,,,23022,INVISIBLE
2303,2,4,1,,technology_upgrade,23034,5,,,,23022,INVISIBLE
,,,,,,,,,,,,
2303,3,0,1,,,,,,,,,
2303,3,1,1,,technology_upgrade,23031,5,,,,23023,INVISIBLE
2303,3,2,1,,technology_upgrade,23032,5,,,,23023,INVISIBLE
2303,3,3,1,,technology_upgrade,23033,5,,,,23023,INVISIBLE
2303,3,4,1,,technology_upgrade,23034,5,,,,23023,INVISIBLE
,,,,,,,,,,,,
2303,4,1,1,,technology_upgrade,23031,5,,,,23024,INVISIBLE
2303,4,2,1,,technology_upgrade,23032,5,,,,23024,INVISIBLE
2303,4,3,1,,technology_upgrade,23033,5,,,,23024,INVISIBLE
2303,4,4,1,,technology_upgrade,23034,5,,,,23024,INVISIBLE
,,,,,,,,,,,,
2303,5,1,1,,technology_upgrade,23031,5,,,,23025,INVISIBLE
2303,5,2,1,,technology_upgrade,23032,5,,,,23025,INVISIBLE
2303,5,3,1,,technology_upgrade,23033,5,,,,23025,INVISIBLE
2303,5,4,1,,technology_upgrade,23034,5,,,,23025,INVISIBLE
,,,,,,,,,,,,
2303,6,1,1,,technology_upgrade,23031,5,,,,23026,INVISIBLE
2303,6,2,1,,technology_upgrade,23032,5,,,,23026,INVISIBLE
2303,6,3,1,,technology_upgrade,23033,5,,,,23026,INVISIBLE
2303,6,4,1,,technology_upgrade,23034,5,,,,23026,INVISIBLE
,,,,,,,,,,,,
2303,7,1,1,,technology_upgrade,23031,5,,,,23027,INVISIBLE
2303,7,2,1,,technology_upgrade,23032,5,,,,23027,INVISIBLE
2303,7,3,1,,technology_upgrade,23033,5,,,,23027,INVISIBLE
2303,7,4,1,,technology_upgrade,23034,5,,,,23027,INVISIBLE
,,,,,,,,,,,,
2303,8,1,1,,technology_upgrade,23031,5,,,,23028,INVISIBLE
2303,8,2,1,,technology_upgrade,23032,5,,,,23028,INVISIBLE
2303,8,3,1,,technology_upgrade,23033,5,,,,23028,INVISIBLE
2303,8,4,1,,technology_upgrade,23034,5,,,,23028,INVISIBLE
,,,,,,,,,,,,
2303,9,1,1,,technology_upgrade,23031,5,,,,23029,INVISIBLE
2303,9,2,1,,technology_upgrade,23032,5,,,,23029,INVISIBLE
2303,9,3,1,,technology_upgrade,23033,5,,,,23029,INVISIBLE
2303,9,4,1,,technology_upgrade,23034,5,,,,23029,INVISIBLE
,,,,,,,,,,,,
2303,10,1,1,,technology_upgrade,23031,5,,,,23030,INVISIBLE
2303,10,2,1,,technology_upgrade,23032,5,,,,23030,INVISIBLE
2303,10,3,1,,technology_upgrade,23033,5,,,,23030,INVISIBLE
2303,10,4,1,,technology_upgrade,23034,5,,,,23030,INVISIBLE
,,,,,,,,,,,,
//Tower,,,,,,,,,,,,
2402,1,0,1,,,,,,,,,
2402,1,1,1,,structure_Upgrade,10,,,,,,
2402,2,2,1,,structure_Change,2403,1,,,,,
,,,,,,,,,,,,
//Cannon Tower,,,,,,,,,,,,
2403,1,0,1,,,,,,,,,
2403,1,1,1,,structure_Upgrade,10,,,,,,
,,,,,,,,,,,,
//Trading Post,,,,,,,,,,,,
2501,1,0,20,,,,,,,,,
2501,1,1,1,,structure_Upgrade,15,,,,,,
2501,1,2,1,,structure_Build,2502,,,,,,
2501,1,3,1,,resource_Send,,,,,,,
2501,2,4,1,,structure_Build,3002,,,,,,
2501,3,5,1,,technology_upgrade,25011,1,,,,,
2501,4,6,1,,unit_train,401,,,,,,
2501,4,7,1,,unit_upgrade,401,10,,,,,
,,,,,,,,,,,,
2501,6,8,1,,structure_Build,3003,,,,,,
2501,6,5,1,,technology_upgrade,25011,2,,,,,
,,,,,,,,,,,,
2501,9,5,1,,technology_upgrade,25011,3,,,,,
,,,,,,,,,,,,
2501,10,9,1,,structure_Build,3004,,,,,,
,,,,,,,,,,,,
2501,12,5,1,,technology_upgrade,25011,4,,,,,
,,,,,,,,,,,,
2501,14,10,1,,structure_Build,3005,,,,,,
,,,,,,,,,,,,
2501,15,5,1,,technology_upgrade,25011,5,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
//Market,,,,,,,,,,,,
2502,1,0,1,,,,,,,,,
2502,1,1,1,,structure_Upgrade,10,,,,,,
2502,1,2,1,Uncancelable,resource_buy,,,,,,,
2502,1,3,1,Uncancelable,resource_sell,,,,,,,
2502,4,4,1,,technology_upgrade,25011,5,,,,,
2502,6,5,1,,technology_upgrade,25021,5,,,,,
,,,,,,,,,,,,
//Corn Field,,,,,,,,,,,,
3001,1,0,1,,,,,,,,,
3001,1,1,1,,resource_gather,,,,,,,
,,,,,,,,,,,,
//dummies,,,,,,,,,,,,
3002,1,0,1,,//tribal stuff,,,,,,,
3003,1,0,1,,//tribal stuff,,,,,,,
3004,1,0,1,,//tribal stuff,,,,,,,
3005,1,0,1,,//tribal stuff,,,,,,,
2108,1,0,1,,//forest camp,,,,,,,
